2026-04-08 19:07:58,177 | INFO | Found 63 papers in parse_failures.json
2026-04-08 19:07:58,204 | INFO | [dw_queue] request=46/63 paper_id=1611.02668v1 title=Computing the Laplace eigenvalue and level of Maass cusp forms
2026-04-08 19:07:58,204 | INFO | [dw_queue] request=47/63 paper_id=1606.08321v1 title=Regular variation of a random length sequence of random variables and application to risk assessment
2026-04-08 19:07:58,205 | INFO | [dw_queue] request=48/63 paper_id=2510.05723v2 title=Six loop critical exponent analysis for Lee-Yang and percolation theory
2026-04-08 19:07:58,205 | INFO | [dw_queue] request=49/63 paper_id=2510.04556v2 title=Model Monitoring: A General Framework with an Application to Non-life Insurance Pricing
2026-04-08 19:07:58,205 | INFO | [dw_queue] request=50/63 paper_id=2502.11788v2 title=Comparison of offset and ratio weighted regressions in tweedie models with application to mid-term cancellations
2026-04-08 19:07:58,205 | INFO | [dw_queue] request=51/63 paper_id=2212.00101v1 title=mCube: Multinomial Micro-level reserving Model
2026-04-08 19:07:58,205 | INFO | [dw_queue] request=52/63 paper_id=2203.07145v2 title=Bridging the gap between pricing and reserving with an occurrence and development model for non-life insurance claims
2026-04-08 19:07:58,205 | INFO | [dw_queue] request=53/63 paper_id=2312.04108v1 title=Current poisson's ratio values of finite element models are too low to consider soft tissues nearly-incompressible: illustration on the human heel region
2026-04-08 19:07:58,205 | INFO | [dw_queue] request=54/63 paper_id=1710.07468v2 title=Nonparametric estimation of multivariate distribution function for truncated and censored lifetime data
2026-04-08 19:07:58,205 | INFO | [dw_queue] request=55/63 paper_id=2206.08541v5 title=Ensemble distributional forecasting for insurance loss reserving
2026-04-08 19:07:58,205 | INFO | [dw_queue] request=56/63 paper_id=2302.09510v2 title=Smooth Backfitting for Additive Hazard Rates
2026-04-08 19:07:58,205 | INFO | [dw_queue] request=57/63 paper_id=2406.03252v2 title=Continuous-time modeling and bootstrap for chain-ladder reserving
2026-04-08 19:07:58,205 | INFO | [dw_queue] request=58/63 paper_id=2604.02400v1 title=Varying risk exposure in auto insurance: a weighted tweedie framework for experience rating an cancellation penalties
2026-04-08 19:07:58,205 | INFO | [dw_queue] request=59/63 paper_id=2004.06150v1 title=Assessing the Performance of the Discrete Generalised Pareto Distribution in Modelling Non-Life Insurance Claims
2026-04-08 19:07:58,205 | INFO | [dw_queue] request=60/63 paper_id=2007.07068v1 title=Modeling and measuring incurred claims risk liabilities for a multi-line property and casualty insurer
2026-04-08 19:07:58,205 | INFO | [dw_queue] request=61/63 paper_id=2512.20305v2 title=A Structured Nonparametric Framework for Nonlinear Accelerated Failure Time Models (KAN-AFT)
2026-04-08 19:07:58,205 | INFO | [dw_queue] request=62/63 paper_id=1810.08466v2 title=ALM for insurers with multiple underwriting lines and portfolio constraints: a Lagrangian duality approach
2026-04-08 19:07:58,206 | INFO | [dw_queue] request=63/63 paper_id=2008.05693v4 title=SynthETIC: an individual insurance claim simulator with feature control
2026-04-08 19:07:58,207 | INFO | Batch requests written to runs/batch_requests/batch_requests_20260408_190758_requeue_failures.jsonl
2026-04-08 19:07:58,992 | INFO | HTTP Request: POST https://api.doubleword.ai/v1/files "HTTP/1.1 401 Unauthorized"
