source,arxiv_id,arxiv_title,arxiv_authors,published,dw_score,is_relevant_ge7,arxiv_url,lit_title,lit_authors,lit_year,note
arxiv_only,2601.17621v2,Non-parametric finite-sample credible intervals with one-dimensional priors: a middle ground between Bayesian and frequentist intervals,Tim Ritmeester,2026-01-24,,,http://arxiv.org/abs/2601.17621v2,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2601.07637v1,Reinforcement Learning for Micro-Level Claims Reserving,Benjamin Avanzi; Ronald Richman; Bernard Wong et al.,2026-01-12,9,Yes,http://arxiv.org/abs/2601.07637v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2601.05964v1,Negative binomial models for development triangles of counts,Luis E. Nieto-Barajas; Rodrigo S. Targino,2026-01-09,8,Yes,http://arxiv.org/abs/2601.05964v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2601.05859v1,Neural Methods for Multiple Systems Estimation Models,Joseph Marsh; Nathan A. Judd; Lax Chan et al.,2026-01-09,,,http://arxiv.org/abs/2601.05859v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2601.05274v1,On the use of case estimate and transactional payment data in neural networks for individual loss reserving,Benjamin Avanzi; Matthew Lambrianidis; Greg Taylor et al.,2025-12-28,9,Yes,http://arxiv.org/abs/2601.05274v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2512.20305v2,A Structured Nonparametric Framework for Nonlinear Accelerated Failure Time Models (KAN-AFT),Mebin Jose; Jisha Francis; Sudheesh Kumar Kattumannil,2025-12-23,7,Yes,http://arxiv.org/abs/2512.20305v2,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2512.18558v1,Distributionally Robust Multi-Agent Reinforcement Learning for Intelligent Traffic Control,Shuwei Pei; Joran Borger; Arda Kosay et al.,2025-12-21,,,http://arxiv.org/abs/2512.18558v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2512.11197v1,"A Unified Micro-Model for Loss Reserves, IBNR and Unearned Premium Risk with Dependence, Inflation, and Discounting",Emmanuel Hamel; Anas Abdallah; Ghislain Léveillé,2025-12-12,9,Yes,http://arxiv.org/abs/2512.11197v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2511.14441v1,Skewness-Robust Causal Discovery in Location-Scale Noise Models,Daniel Klippert; Alexander Marx,2025-11-18,,,http://arxiv.org/abs/2511.14441v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2511.01420v1,Gradient Clock Synchronization with Practically Constant Local Skew,Christoph Lenzen,2025-11-03,,,http://arxiv.org/abs/2511.01420v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2510.27519v1,Mastering an Accurate and Generalizable Simulation-Based Method to Obtain Bias-corrected Point Estimates and Sampling Variance for Any Effect Sizes,Shinichi Nakagawa; Ayumi Mizuno; Coralie Williams et al.,2025-10-31,,,http://arxiv.org/abs/2510.27519v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2510.27204v1,Functional Analysis of Loss-development Patterns in P&C Insurance,Arthur Charpentier; Qiheng Guo; Mike Ludkovski,2025-10-31,8,Yes,http://arxiv.org/abs/2510.27204v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2510.05723v2,Six loop critical exponent analysis for Lee-Yang and percolation theory,J. A. Gracey,2025-10-07,,,http://arxiv.org/abs/2510.05723v2,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2510.04556v2,Model Monitoring: A General Framework with an Application to Non-life Insurance Pricing,Alexej Brauer; Paul Menzel; Mario V. Wüthrich,2025-10-06,,,http://arxiv.org/abs/2510.04556v2,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2509.24158v1,Blockwise Missingness meets AI: A Tractable Solution for Semiparametric Inference,Qi Xu; Lorenzo Testa; Jing Lei et al.,2025-09-29,,,http://arxiv.org/abs/2509.24158v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2509.20803v1,Statistical Learning of Trade Credit Insurance Network Data with Applications to Ratemaking and Reserving,Woongchae Yoo; Spark C. Tseung; Tsz Chai Fung,2025-09-25,7,Yes,http://arxiv.org/abs/2509.20803v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2509.08956v1,Multi-Agent Inverse Reinforcement Learning for Identifying Pareto-Efficient Coordination -- A Distributionally Robust Approach,Luke Snow; Vikram Krishnamurthy,2025-09-10,,,http://arxiv.org/abs/2509.08956v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2509.08479v2,From Kardar-Parisi-Zhang scaling to soliton proliferation in Josephson junction arrays,Mikheil Tsitsishvili; Reinhold Egger; Karsten Flensberg et al.,2025-09-10,,,http://arxiv.org/abs/2509.08479v2,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2509.08467v1,An Interpretable Deep Learning Model for General Insurance Pricing,Patrick J. Laub; Tu Pho; Bernard Wong,2025-09-10,,,http://arxiv.org/abs/2509.08467v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2509.05426v1,Sparse Seemingly Unrelated Regression (SSUR) Copula Mixed Models for Multivariate Loss Reserving,Pengfei Cai; Anas Abdallah; Pratheepa Jeganathan,2025-09-05,8,Yes,http://arxiv.org/abs/2509.05426v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2508.16444v3,Dynamic Financial Analysis (DFA) of General Insurers under Climate Change,Benjamin Avanzi; Yanfeng Li; Greg Taylor et al.,2025-08-22,,,http://arxiv.org/abs/2508.16444v3,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2506.22513v1,Automated Defect Identification and Categorization in NDE 4.0 with the Application of Artificial Intelligence,Aditya Sharma,2025-06-26,,,http://arxiv.org/abs/2506.22513v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2506.18136v1,Regression Discontinuity Designs for Functional Data and Random Objects in Geodesic Spaces,Daisuke Kurisu; Yidong Zhou; Taisuke Otsu et al.,2025-06-22,,,http://arxiv.org/abs/2506.18136v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2506.15855v2,Bayesian Non-Negative Matrix Factorization with Correlated Mutation Type Probabilities for Mutational Signatures,Iris Lang; Jenna Landy; Giovanni Parmigiani,2025-06-18,,,http://arxiv.org/abs/2506.15855v2,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2506.07622v1,Set-valued regression and cautious suboptimization: From noisy data to optimality,Jaap Eising; Jorge Cortes,2025-06-09,,,http://arxiv.org/abs/2506.07622v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2506.00695v2,Multi-Controlled Quantum Gates in Linear Nearest Neighbor,Ben Zindorf; Sougato Bose,2025-05-31,,,http://arxiv.org/abs/2506.00695v2,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2505.17360v1,The Quasi-Polynomial Low-Degree Conjecture is False,Rares-Darius Buhai; Jun-Ting Hsieh; Aayush Jain et al.,2025-05-23,,,http://arxiv.org/abs/2505.17360v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2505.16486v1,Asset liability management under sequential stochastic dominance constraints,Giorgio Consigli; Darinka Dentcheva; Francesca Maggioni et al.,2025-05-22,,,http://arxiv.org/abs/2505.16486v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2505.08943v1,The value of partial information,Philip A. Ernst; Oleksii Mostovyi,2025-05-13,,,http://arxiv.org/abs/2505.08943v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2504.21822v2,On the difficulty of capturing the distribution function of neutrinos in neutron star merger simulations,Francois Foucart,2025-04-30,,,http://arxiv.org/abs/2504.21822v2,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2504.09974v1,Towards Resilient Tracking in Autonomous Vehicles: A Distributionally Robust Input and State Estimation Approach,Kasra Azizi; Kumar Anurag; Wenbin Wan,2025-04-14,,,http://arxiv.org/abs/2504.09974v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2504.09396v2,Adaptive Insurance Reserving with CVaR-Constrained Reinforcement Learning under Macroeconomic Regimes,Stella C. Dong,2025-04-13,8,Yes,http://arxiv.org/abs/2504.09396v2,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2504.09292v1,Stochastic Claims Reserving Using State Space Modeling,Rajesh Selukar,2025-04-12,8,Yes,http://arxiv.org/abs/2504.09292v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2504.07014v2,"Fermi surface as a quantum critical manifold: gaplessness, order parameter, and scaling in $d$-dimensions",Gennady Y. Chitov,2025-04-09,,,http://arxiv.org/abs/2504.07014v2,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2503.21321v1,Explainable Boosting Machine for Predicting Claim Severity and Frequency in Car Insurance,Markéta Krùpovà; Nabil Rachdi; Quentin Guibert,2025-03-27,7,Yes,http://arxiv.org/abs/2503.21321v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2503.17173v2,Robustness of deep learning classification to adversarial input on GPUs: asynchronous parallel accumulation is a source of vulnerability,Sanjif Shanmugavelu; Mathieu Taillefumier; Christopher Culver et al.,2025-03-21,,,http://arxiv.org/abs/2503.17173v2,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2502.20785v3,GraphCheck: Multipath Fact-Checking with Entity-Relationship Graphs,Hyewon Jeon; Jay-Yoon Lee,2025-02-28,,,http://arxiv.org/abs/2502.20785v3,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2502.15598v1,A Population Sampling Framework for Claim Reserving in General Insurance,Sebastian Calcetero Vanegas; Andrei L. Badescu; X. Sheldon Lin,2025-02-21,8,Yes,http://arxiv.org/abs/2502.15598v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2502.14479v4,Modelling the term-structure of default risk under IFRS 9 within a multistate regression framework,Arno Botha; Tanja Verster; Roland Breedt,2025-02-20,,,http://arxiv.org/abs/2502.14479v4,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2502.11788v2,Comparison of offset and ratio weighted regressions in tweedie models with application to mid-term cancellations,Boucher Jean-Philippe; Coulibaly Raïssa,2025-02-17,,,http://arxiv.org/abs/2502.11788v2,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2501.09660v1,Peierls bounds from random Toom contours,Jan M. Swart; Réka Szabó; Cristina Toninelli,2025-01-16,,,http://arxiv.org/abs/2501.09660v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2501.01686v2,Endpoint estimates for maximal operators associated to the wave equation,Chu-Hee Cho; Sanghyuk Lee; Wenjuan Li,2025-01-03,,,http://arxiv.org/abs/2501.01686v2,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2412.07962v2,Mayfly: Private Aggregate Insights from Ephemeral Streams of On-Device User Data,Christopher Bian; Albert Cheu; Stanislav Chiknavaryan et al.,2024-12-10,,,http://arxiv.org/abs/2412.07962v2,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2411.12784v1,Cancer incidence estimation from mortality data: a validation study within a population-based cancer registry,Daniel Redondo-Sánchez; Miguel Rodríguez-Barranco; Alberto Ameijide et al.,2024-11-19,,,http://arxiv.org/abs/2411.12784v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2410.20841v2,Quantum Computational Insurance and Actuarial Science,Huan-Yu Liu; Xi-Ning Zhuang; Chao Wang et al.,2024-10-28,,,http://arxiv.org/abs/2410.20841v2,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2410.15705v1,Variable screening for covariate dependent extreme value index estimation,Takuma Yoshida; Yuta Umezu,2024-10-21,,,http://arxiv.org/abs/2410.15705v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2410.15079v1,Parsimonious convolution quadrature,Jens M. Melenk; Jörg Nick,2024-10-19,,,http://arxiv.org/abs/2410.15079v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2410.14985v1,Stochastic Loss Reserving: Dependence and Estimation,Andrew Fleck; Edward Furman; Yang Shen,2024-10-19,7,Yes,http://arxiv.org/abs/2410.14985v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2410.04369v1,Deviance Voronoi Residuals for Space-Time Point Process Models: An Application to Earthquake Insurance Risk,Roba Bairakdar; Debbie Dupuis; Melina Mailhot,2024-10-06,,,http://arxiv.org/abs/2410.04369v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2409.12896v1,Marked Cox Models for IBNR Claims Count: Continuous and Discretized Approaches with Dirichlet-Driven Reporting Delays,Hassan Abdelrahman; Andrei Badescu; Radu Craiu et al.,2024-09-19,8,Yes,http://arxiv.org/abs/2409.12896v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2409.07795v2,Robust and efficient estimation in the presence of a randomly censored covariate,Seong-ho Lee; Brian D. Richardson; Yanyuan Ma et al.,2024-09-12,,,http://arxiv.org/abs/2409.07795v2,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2408.01175v3,Common Noise by Random Measures: Constructing Mean-Field Equilibria for Competitive Investment and Hedging,Dirk Becherer; Stefanie Hesse,2024-08-02,,,http://arxiv.org/abs/2408.01175v3,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2407.18377v1,Bayesian Nowcasting Data Breach IBNR Incidents,Maochao Xu; Hong Sun; Peng Zhao,2024-07-25,8,Yes,http://arxiv.org/abs/2407.18377v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2407.15177v1,Measurements of the Safety Function Response Time on a Private 5G and IO-Link Wireless Testbed,Henry Beuster; Kevin Tebbe; Thomas Doebbert et al.,2024-07-21,,,http://arxiv.org/abs/2407.15177v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2408.00003v1,Bonus-malus Systems vs Delays in Claims Reporting and Settlement: Analysis of Ruin Probabilities,Dhiti Osatakul; Shuanming Li; Xueyuan Wu,2024-07-17,,,http://arxiv.org/abs/2408.00003v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2407.12564v1,Shackling Uncertainty using Mixed Criticality in Monte-Carlo Tree Search,Franco Cordeiro; Samuel Tardieu; Laurent Pautet,2024-07-17,,,http://arxiv.org/abs/2407.12564v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2406.18472v1,Ground states of a nonlocal variational problem and Thomas-Fermi limit for the Choquard equation,Damiano Greco; Yanghong Huang; Zeng Liu et al.,2024-06-26,,,http://arxiv.org/abs/2406.18472v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2406.10733v1,A Laplace transform-based test for the equality of positive semidefinite matrix distributions,Žikica Lukić,2024-06-15,,,http://arxiv.org/abs/2406.10733v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2406.03252v2,Continuous-time modeling and bootstrap for chain-ladder reserving,Nicolas Baradel,2024-06-05,8,Yes,http://arxiv.org/abs/2406.03252v2,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2405.09797v3,Extrapolating Single-Treatment Effects Out of Factorial Experiments,Guilherme Duarte,2024-05-16,,,http://arxiv.org/abs/2405.09797v3,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2405.06261v4,On Improving the Composition Privacy Loss in Differential Privacy for Fixed Estimation Error,V. Arvind Rameshwar; Anshoo Tandon,2024-05-10,,,http://arxiv.org/abs/2405.06261v4,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2405.02871v2,Modeling frequency distribution above a priority in presence of IBNR,Nicolas Baradel,2024-05-05,,,http://arxiv.org/abs/2405.02871v2,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2404.10275v1,OptiGrad: A Fair and more Efficient Price Elasticity Optimization via a Gradient Based Learning,Vincent Grari; Marcin Detyniecki,2024-04-16,,,http://arxiv.org/abs/2404.10275v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2404.07248v1,Parametric estimation of conditional Archimedean copula generators for censored data,Marie Michaelides; Hélène Cossette; Mathieu Pigeon,2024-04-10,,,http://arxiv.org/abs/2404.07248v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2402.14983v1,Privacy-Enhancing Collaborative Information Sharing through Federated Learning -- A Case of the Insurance Industry,Panyi Dong; Zhiyu Quan; Brandon Edwards et al.,2024-02-22,,,http://arxiv.org/abs/2402.14983v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2402.10421v3,Recurrent Neural Networks for Multivariate Loss Reserving and Risk Capital Analysis,Pengfei Cai; Anas Abdallah; Pratheepa Jeganathan,2024-02-16,9,Yes,http://arxiv.org/abs/2402.10421v3,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2401.17334v1,Efficient estimation of parameters in marginals in semiparametric multivariate models,Ivan Medovikov; Valentyn Panchenko; Artem Prokhorov,2024-01-29,,,http://arxiv.org/abs/2401.17334v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2401.16529v1,Unleashing the Power of Preemptive Priority-based Scheduling for Real-Time GPU Tasks,Yidi Wang; Cong Liu; Daniel Wong et al.,2024-01-29,,,http://arxiv.org/abs/2401.16529v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2401.07724v1,A non-parametric estimator for Archimedean copulas under flexible censoring scenarios and an application to claims reserving,Marie Michaelides; Hélène Cossette; Mathieu Pigeon,2024-01-15,,,http://arxiv.org/abs/2401.07724v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2312.14549v3,A machine learning approach based on survival analysis for IBNR frequencies in non-life reserving,Munir Hiabu; Emil Hofman; Gabriele Pittarello,2023-12-22,8,Yes,http://arxiv.org/abs/2312.14549v3,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2312.14324v2,A multistate approach to disability insurance reserving with information delays,Oliver Lunding Sandqvist,2023-12-21,7,Yes,http://arxiv.org/abs/2312.14324v2,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2312.04108v1,Current poisson's ratio values of finite element models are too low to consider soft tissues nearly-incompressible: illustration on the human heel region,Nolwenn Fougeron; Alessio Trebbi; Bethany Keenan et al.,2023-12-07,,,http://arxiv.org/abs/2312.04108v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2312.03139v1,A Bayesian Skew-heavy-tailed modelling for loss reserving,William L. Leão; Viviana G. R. Lobo,2023-12-05,8,Yes,http://arxiv.org/abs/2312.03139v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2311.11900v2,Measuring and Mitigating Biases in Motor Insurance Pricing,Mulah Moriah; Franck Vermet; Arthur Charpentier,2023-11-20,,,http://arxiv.org/abs/2311.11900v2,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2311.10917v1,Modeling trading games in a stochastic non-life insurance market,Leonard Mushunje; David Edmund Allen,2023-11-18,,,http://arxiv.org/abs/2311.10917v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2311.07384v3,Individual claims reserving using the Aalen--Johansen estimator,Martin Bladt; Gabriele Pittarello,2023-11-13,8,Yes,http://arxiv.org/abs/2311.07384v3,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2311.07597v2,Enhancing Actuarial Non-Life Pricing Models via Transformers,Alexej Brauer,2023-11-10,,,http://arxiv.org/abs/2311.07597v2,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2310.12056v1,Mack's estimator motivated by large exposure asymptotics in a compound Poisson setting,Nils Engler; Filip Lindskog,2023-10-18,8,Yes,http://arxiv.org/abs/2310.12056v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2310.11471v2,Modeling lower-truncated and right-censored insurance claims with an extension of the MBBEFD class,Selim Gatti; Mario V. Wüthrich,2023-10-16,,,http://arxiv.org/abs/2310.11471v2,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2310.04786v2,On the evolution of data breach reporting patterns and frequency in the United States: a cross-state analysis,Benjamin Avanzi; Xingyun Tan; Greg Taylor et al.,2023-10-07,7,Yes,http://arxiv.org/abs/2310.04786v2,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2307.07771v3,"Enhanced Gradient Boosting for Zero-Inflated Insurance Claims and Comparative Analysis of CatBoost, XGBoost, and LightGBM",Banghee So,2023-07-15,,,http://arxiv.org/abs/2307.07771v3,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2307.05366v1,From academic to media capital: To what extent does the scientific reputation of universities translate into Wikipedia attention?,Wenceslao Arroyo-Machado; Adrián A. Díaz-Faes; Enrique Herrera-Viedma et al.,2023-07-11,,,http://arxiv.org/abs/2307.05366v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2307.10808v3,Claim Reserving via Inverse Probability Weighting: A Micro-Level Chain-Ladder Method,Sebastian Calcetero-Vanegas; Andrei L. Badescu; X. Sheldon Lin,2023-07-05,8,Yes,http://arxiv.org/abs/2307.10808v3,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2306.09020v1,Distributionally Robust Stratified Sampling for Stochastic Simulations with Multiple Uncertain Input Models,Seung Min Baik; Eunshin Byon; Young Myoung Ko,2023-06-15,,,http://arxiv.org/abs/2306.09020v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2306.01502v1,Ruin probability for renewal risk models with neutral net profit condition,Andrius Grigutis; Arvydas Karbonskis; Jonas Šiaulys,2023-06-02,,,http://arxiv.org/abs/2306.01502v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2305.18265v1,Check-COVID: Fact-Checking COVID-19 News Claims with Scientific Evidence,Gengyu Wang; Kate Harwood; Lawrence Chillrud et al.,2023-05-29,,,http://arxiv.org/abs/2305.18265v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2305.00518v1,Diagnostic Tests Before Modeling Longitudinal Actuarial Data,Yinhuan Li; Tsz Chai Fung; Liang Peng et al.,2023-04-30,7,Yes,http://arxiv.org/abs/2305.00518v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2303.16119v1,Exploring the validity of the complete case analysis for regression models with a right-censored covariate,Marissa C. Ashner; Tanya P. Garcia,2023-03-28,,,http://arxiv.org/abs/2303.16119v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2303.05913v1,Bootstrap Consistency for the Mack Bootstrap,Julia Steinmetz; Carsten Jentsch,2023-03-10,8,Yes,http://arxiv.org/abs/2303.05913v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2303.01923v3,Bayesian CART models for insurance claims frequency,Yaojun Zhang; Lanpeng Ji; Georgios Aivaliotis et al.,2023-03-03,,,http://arxiv.org/abs/2303.01923v3,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2303.01129v5,GEMAct: a Python package for non-life (re)insurance modeling,Gabriele Pittarello; Edoardo Luini; Manfred Marvin Marchione,2023-03-02,,,http://arxiv.org/abs/2303.01129v5,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2302.09510v2,Smooth Backfitting for Additive Hazard Rates,Stephan M. Bischofberger; Munir Hiabu; Enno Mammen et al.,2023-02-19,,,http://arxiv.org/abs/2302.09510v2,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2301.06781v5,A nested divide-and-conquer method for tensor Sylvester equations with positive definite hierarchically semiseparable coefficients,Stefano Massei; Leonardo Robol,2023-01-17,,,http://arxiv.org/abs/2301.06781v5,,,,Retrieved by search — NOT in lit_review (high-confidence)
